4-Key Value Pairs,"ROUND -1(Training - 671 files,Testing 134 files)",,,"ROUND-2(Training-1204 files,Testing 322 files)",,
,PRECISION,RECALL,F1 SCORE,PRECISION,RECALL,F1 SCORE
,,,,,,
EMPLOYEE,70.84,25.76,37.78,89.0625,73.07692308,80.28169014
ORGANIZATION,95.24,41.24,57.55,92.75362319,84.21052632,88.27586207
DATE,90.14,71.91,80,93.82716049,91.56626506,92.68292683
NETPAY,88.89,39.5,54.7,88.46153846,84.14634146,86.25
,,,,,,
,,,,,,
,,,,,,
6-Key Value Pairs,"ROUND -1(Training - 450 files,Testing 100 files)",,,,,
,PRECISION,RECALL,F1 SCORE,,,
EMPLOYEE,54.38596491,43.66197183,48.4375,,,
ORGANIZATION,64.61538462,63.63636364,64.1221374,,,
DATE,92.10526316,98.5915493,95.23809524,,,
NETPAY,80.39215686,62.12121212,70.08547009,,,
TOTAL DEDUCTION,79.62962963,71.66666667,75.43859649,,,
GROSS SALARY,71.42857143,71.42857143,71.42857143,,,
,,,,,,
,,,,,,
2-Key value pairs,"ROUND -1(Training - 450 files,Testing 100 files)",,,,,
,PRECISION,RECALL,F1 SCORE,,,
TOTAL DEDUCTION,66.66666667,57.69230769,61.8556701,,,
GROSS SALARY,79.56989247,70.47619048,74.74747475,,,
