Company Name,Company url,ROP,Title,TN,Meta,MN,LVTN,LVDN,Links,Word,DCNAIH,RatioWL,RV
"""cecaci"" centro de capacitacion comercial e industrial",linkedin.com,1,0,0,2,0.16,45,46,0,0,0,0,0
3m health care,3m.com,1,1,0.333,1,0.333,21,11,0,0,1,0,1
abb,global.abb,1,2,2,1,1,62,8,460,1640,1,3.565217391,1
abbott,abbott.com,1,1,1,2,2,12,4,120,735,1,6.125,1
abbvie,abbvie.com,1,1,1,1,0,41,4,203,1687,1,8.310344828,1
abn amro bank n.v.,abnamro.com,1,0,0,0,0,18,11,0,0,0,0,1
absa,absa.co.za,1,1,1,1,1,50,6,110,597,1,5.427272727,1
accenture in india,accenture.com,1,1,0.333,3,1,20,10,181,0,1,0,1
accorhotels,all.accor.com,1,1,1,2,2,19,11,162,853,1,5.265432099,1
adecco,adecco.com,1,1,1,0,0,9,4,71,122,1,1.718309859,1
adidas,shop.adidas.co.in,1,1,1,5,5,22,11,0,852,1,0,1
adobe,adobe.com,1,1,1,1,1,55,4,89,2,1,0.02247191011,1
adp,adp.com,1,1,1,1,1,45,4,262,2181,1,8.324427481,1
advocare,advocare.com,1,1,1,1,1,11,4,0,0,1,0,1
aecom,aecom.com,1,1,1,1,1,8,4,178,956,1,5.370786517,1
aerotek,aerotek.com,1,2,2,3,3,38,5,96,349,1,3.635416667,1
aetna,aetna.com,1,1,1,3,3,29,4,206,1520,1,7.378640777,1
aflac,aflac.com,1,1,1,1,1,59,4,116,1777,1,15.31896552,1
agilent technologies,agilent.com,1,1,1,1,0.5,48,12,47,392,1,8.340425532,1
aig,aig.com,1,1,1,1,1,52,4,62,598,1,9.64516129,1
aim,dictionary.cambridge.org,1,0,0,0,0,64,23,0,0,0,0,0
air france,airfrance.com,1,1,1,5,2.5,19,5,0,1461,1,0,1
air liquide,airliquide.com,1,1,1,3,1.5,78,5,537,2459,1,4.579143389,1
airbus,airbus.com,1,1,1,3,3,27,4,527,1586,1,3.009487666,1
airtel,airtel.in,1,1,1,2,2,55,3,0,0,1,0,1
aker solutions,akersolutions.com,1,2,2,1,1,18,5,93,390,1,4.193548387,1
akzonobel,akzonobel.com,1,2,2,1,1,13,4,55,552,1,10.03636364,1
alberta health services,albertahealthservices.ca,1,1,1,1,0.33,11,5,163,1259,1,7.72392638,1
"alcon, a novartis company",alcon.com,1,2,2,1,0.25,59,18,41,428,1,10.43902439,1
allergan,allergan.com,1,1,1,1,1,39,4,0,0,1,0,1
allianz,allianz.com,1,0,0,1,1,36,5,164,864,0,5.268292683,1
allstate,allstate.com,1,1,1,3,3,41,4,0,0,1,0,1
