Company Name,Company url,ROP,Title,TN,Meta,MN,LVTN,LVDN,Links,Word,DCNAIH,RatioWL,External,Internal,We,Et,RV
"""cecaci"" centro de capacitacion comercial e industrial",linkedin.com,1,0,0,2,0.16,45,46,0,0,0,0,0,0,0,0,0
3m health care,3m.com,1,1,0.333,1,0.333,21,11,0,0,1,0,0,0,0,0,1
abb,global.abb,1,2,2,1,1,62,8,460,1640,1,3.565217391,351,109,4.672364672,0.7630434783,1
abbott,abbott.com,1,1,1,2,2,12,4,120,735,1,6.125,15,105,49,0.125,1
abbvie,abbvie.com,1,1,1,1,0,41,4,203,1687,1,8.310344828,55,148,30.67272727,0.2709359606,1
abn amro bank n.v.,abnamro.com,1,0,0,0,0,18,11,0,0,0,0,0,0,0,0,1
absa,absa.co.za,1,1,1,1,1,50,6,110,597,1,5.427272727,15,95,39.8,0.1363636364,1
accenture in india,accenture.com,1,1,0.333,3,1,20,10,181,0,1,0,15,66,0,0.08287292818,1
accorhotels,all.accor.com,1,1,1,2,2,19,11,162,853,1,5.265432099,39,123,21.87179487,0.2407407407,1
adecco,adecco.com,1,1,1,0,0,9,4,71,122,1,1.718309859,58,13,2.103448276,0.8169014085,1
adidas,shop.adidas.co.in,1,1,1,5,5,22,11,0,852,1,0,0,0,0,0,1
adobe,adobe.com,1,1,1,1,1,55,4,89,2,1,0.02247191011,0,89,0,0,1
adp,adp.com,1,1,1,1,1,45,4,262,2181,1,8.324427481,37,225,58.94594595,0.141221374,1
advocare,advocare.com,1,1,1,1,1,11,4,0,0,1,0,0,0,0,0,1
aecom,aecom.com,1,1,1,1,1,8,4,178,956,1,5.370786517,34,44,28.11764706,0.191011236,1
aerotek,aerotek.com,1,2,2,3,3,38,5,96,349,1,3.635416667,8,88,43.625,0.08333333333,1
aetna,aetna.com,1,1,1,3,3,29,4,206,1520,1,7.378640777,46,160,33.04347826,0.2233009709,1
aflac,aflac.com,1,1,1,1,1,59,4,116,1777,1,15.31896552,18,98,98.72222222,0.1551724138,1
agilent technologies,agilent.com,1,1,1,1,0.5,48,12,47,392,1,8.340425532,9,38,43.55555556,0.1914893617,1
aig,aig.com,1,1,1,1,1,52,4,62,598,1,9.64516129,15,47,39.86666667,0.2419354839,1
aim,dictionary.cambridge.org,1,0,0,0,0,64,23,0,0,0,0,0,0,0,0,0
air france,airfrance.com,1,1,1,5,2.5,19,5,0,1461,1,0,0,0,0,0,1
air liquide,airliquide.com,1,1,1,3,1.5,78,5,537,2459,1,4.579143389,32,505,76.84375,0.05959031657,1
airbus,airbus.com,1,1,1,3,3,27,4,527,1586,1,3.009487666,21,506,75.52380952,0.03984819734,1
airtel,airtel.in,1,1,1,2,2,55,3,0,0,1,0,0,0,0,0,1
aker solutions,akersolutions.com,1,2,2,1,1,18,5,93,390,1,4.193548387,4,89,97.5,0.04301075269,1
akzonobel,akzonobel.com,1,2,2,1,1,13,4,55,552,1,10.03636364,13,42,42.46153846,0.2363636364,1
alberta health services,albertahealthservices.ca,1,1,1,1,0.33,11,5,163,1259,1,7.72392638,15,148,83.93333333,0.09202453988,1
"alcon, a novartis company",alcon.com,1,2,2,1,0.25,59,18,41,428,1,10.43902439,11,30,38.90909091,0.2682926829,1
allergan,allergan.com,1,1,1,1,1,39,4,0,0,1,0,0,0,0,0,1
allianz,allianz.com,1,0,0,1,1,36,5,164,864,0,5.268292683,9,155,96,0.05487804878,1
allstate,allstate.com,1,1,1,3,3,41,4,0,0,1,0,0,0,0,0,1
alstom,alstom.com,1,1,1,1,1,34,4,245,2451,1,10.00408163,68,177,36.04411765,0.2775510204,1
altran,capgemini-engineering.com,1,0,0,0,0,66,22,146,0,1,0,6,140,0,0.04109589041,1
amazon,amazon.in,1,1,1,4,4,92,4,245,1110,1,4.530612245,32,213,34.6875,0.1306122449,1
amazon web services,aws.amazon.com,1,1,1,0,0.33,35,17,464,4584,1,9.879310345,27,437,169.7777778,0.05818965517,1
amdocs,amdocs.com,1,1,1,1,1,46,4,86,509,1,5.918604651,7,79,72.71428571,0.08139534884,1
american airlines,aa.com,1,1,1,0,0,35,16,75,0,1,0,17,58,0,0.2266666667,1
american center of krasnodar,facebook.com Americ,1,0,0,1,0.33,42,25,,,0,0,0,0,0,0,0
american express,americanexpress.com,1,1,1,1,1,44,5,444,2061,1,4.641891892,150,294,13.74,0.3378378378,1
american family insurance,amfam.com,1,0,0,1,0.66,26,20,293,1852,0,6.320819113,48,245,38.58333333,0.1638225256,1
american red cross,redcross.org,1,1,1,2,0.66,37,14,183,956,1,5.224043716,26,157,36.76923077,0.1420765027,1
"ameriprise financial services, inc.",ameriprise.com,1,1,1,1,0.25,49,25,288,1581,1,5.489583333,18,270,87.83333333,0.0625,1
amgen,amgen.com,1,1,1,1,1,39,4,368,1175,1,3.192934783,42,326,27.97619048,0.1141304348,1
amway,amway.in,1,1,1,1,1,87,3,208,201,1,0.9663461538,7,201,28.71428571,0.03365384615,1
anheuser-busch inbev,ab-inbev.com,1,1,1,1,0.33,16,17,212,870,1,4.103773585,22,190,39.54545455,0.1037735849,1
"anthem, inc.",antheminc.com,1,0,0,1,0.5,10,5,0,0,0,0,0,0,0,0,1
